Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0061,Têtarte,,"Route 10, Azuria, Céladopole (Méga Canne)","Route 10, Azuria, Céladopole (Méga Canne)","Route 22, Route 23 (Méga Canne)","Route 44, Mauville, Jadielle (Surf), Route 6, Bois aux Chênes (Méga Canne), Route 22, Route 28, Rosalia, Mont Argenté (Surf et Méga Canne)","Route 44, Mauville, Jadielle (Surf), Route 6, Bois aux Chênes (Méga Canne), Route 22, Route 28, Rosalia, Mont Argenté (Surf et Méga Canne)","Route 30, Route 31, Mauville, Jadielle (Surf), Route 6, Bois aux Chênes (Méga Canne), Route 10, Route 22, Route 30, Route 31, Rosalia (Surf et Méga Canne), Route 44 (Surf et Marche la Nuit), Route 28, Mont Argenté (Surf, Méga Canne et Marche la Nuit)",Indisponible,Indisponible,Indisponible,"Route 6, Route 22, Route 23 et Route 25, Jadielle, Cap Falaise, Caverne Azurée, Île 4, Grotte de Glace, Vallée Ruine (Méga Canne)","Route 6, Route 22, Route 23 et Route 25, Jadielle, Cap Falaise, Caverne Azurée, Île 4, Grotte de Glace, Vallée Ruine (Méga Canne)","Route 225 (Méga Canne), Route 227, Route 228 (Surf)","Route 225 (Méga Canne), Route 227, Route 228 (Surf)","Route 227, Route 228 (Surf)","Route 22, Route 28, Route 30, Route 31, Route 44, Rosalia, Mauville, Grotte Argentée, Jadielle, Caverne Azurée, Parc Safari (Surf)","Route 22, Route 28, Route 30, Route 31, Route 44, Rosalia, Mauville, Grotte Argentée, Jadielle, Caverne Azurée, Parc Safari (Surf)","Route 6, Veine Souterraine, Antre d'Entraînement, Route Victoire, Grotte Cyclopéenne (Pêche)","Route 6, Veine Souterraine, Antre d'Entraînement, Route Victoire, Grotte Cyclopéenne (Pêche)","Route 6, Route 19, Route 20, Route 23, Grotte Cyclopéenne, Chemin Enfoui, Ranch d'Amaillide, Route Victoire, Route Bardane, Veine Souterraine, Bois des Illusions (Pêche tourbillon), Trouée Cachée (Forêt d'Empoigne)","Route 6, Route 19, Route 20, Route 23, Grotte Cyclopéenne, Chemin Enfoui, Ranch d'Amaillide, Route Victoire, Route Bardane, Veine Souterraine, Bois des Illusions (Pêche tourbillon), Trouée Cachée (Forêt d'Empoigne)","Monts de Kalos (Super Canne et Méga Canne), Village Pokémon (Surf)","Monts de Kalos (Super Canne et Méga Canne), Village Pokémon (Surf)",Indisponible,Indisponible,Intrusion* (Ptitard*),Intrusion* (Ptitard*),Parc de Malié,Parc de Malié,"Sur l'eau : Routes 22, 23, 25 et Caverne Azurée","Sur l'eau : Routes 22, 23, 25 et Caverne Azurée",Lande Boldair,Lande Boldair,"Grotte de la Prairie, Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée Surf : Route 225, Route 227, Route 228, Méga Canne : Route 225","Grotte de la Prairie, Grotte des Eaux Souterraines, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée Surf : Route 225, Route 227, Route 228, Méga Canne : Route 225",Incompatible,Rives du Confluent,Rives du Confluent,
0062,Tartard,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,"Veine Souterraine, Antre d'Entraînement, Route Victoire, Grotte Cyclopéenne (Pêche tourbillon)","Veine Souterraine, Antre d'Entraînement, Route Victoire, Grotte Cyclopéenne (Pêche tourbillon)","Route 23, Grotte Cyclopéenne, Chemin Enfoui, Route Victoire, Route Bardane Veine Souterraine (Pêche tourbillon)","Route 23, Grotte Cyclopéenne, Chemin Enfoui, Route Victoire, Route Bardane Veine Souterraine (Pêche tourbillon)",Route Victoire (Méga Canne),Route Victoire (Méga Canne),Indisponible,Indisponible,Sous la pluie : Intrusion* (Ptitard*),Sous la pluie : Intrusion* (Ptitard*),Sous la pluie : Intrusion* (Ptitard*),Sous la pluie : Intrusion* (Ptitard*),Caverne Azurée (sur l'eau),Caverne Azurée (sur l'eau),"Grotte du Pugilat, Expédition Dynamax","Grotte du Pugilat, Expédition Dynamax",Faire évoluer Têtarte (Avec une Pierre Eau),Faire évoluer Têtarte (Avec une Pierre Eau),Incompatible,Septentria (Raid 5 et 6*),Septentria (Raid 5 et 6*),
0063,Abra,,"Route 24, Route 25, Casino de Céladopole","Route 24, Route 25, Casino de Céladopole","Route 5, Route 6, Route 7, Route 8, Casino de Céladopole","Route 5, Route 6, Route 8, Route 24, Route 25, Route 34, Route 35, Casino de Doublonville","Route 5, Route 6, Route 8, Route 24, Route 25, Route 34, Route 35, Casino de Doublonville","Route 5, Route 7, Route 8, Route 24, Route 34, Route 35, Casino de Doublonville",Grotte Granite,Grotte Granite,"Route 116, Grotte Granite","Route 24, Route 25","Route 24, Route 25","Route 203, Route 215, Échange contre un Machoc à Charbourg","Route 203, Route 215, Échange contre un Machoc à Charbourg","Route 203, Route 215, Échange contre un Machoc à Charbourg","Route 5, Route 6, Route 8, Route 24, Route 25, Route 34, Route 35, Parc Safari, Pokéwalker (Faubourgs)","Route 5, Route 6, Route 8, Route 24, Route 25, Route 34, Route 35, Parc Safari, Pokéwalker (Faubourgs)",Indisponible,Forêt Blanche (avec Sergei dans la forêt),Indisponible,Indisponible,Route 5,Route 5,Grotte Granite,Grotte Granite,"Route 2*, Ekaeka","Route 2*, Ekaeka","Route 2*, Ekaeka","Route 2*, Ekaeka","Hautes herbes : Routes 5, 6, 7 et 8","Hautes herbes : Routes 5, 6, 7 et 8",Plaine Salutation,Plaine Salutation,"Route 203, Route 215","Route 203, Route 215",??,,,Zone Sauvage 5
0064,Kadabra,Mâle,Caverne Azurée,Caverne Azurée,Route 8,Route 8,Route 8,Route 8,Indisponible,Indisponible,Indisponible,Caverne Azurée,Caverne Azurée,"Route 215, Route Victoire","Route 215, Route Victoire",Route 215,"Route 8, Caverne Azurée","Route 8, Caverne Azurée",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Hautes herbes : Routes 7 et 8,Hautes herbes : Routes 7 et 8,"Plaine Salutation, Lande Boldair, Expédition Dynamax","Plaine Salutation, Lande Boldair, Expédition Dynamax","Route 215, Route Victoire, Grotte Éblouissante, Caverne de la Nuit Étoilée","Route 215, Route Victoire, Grotte Éblouissante, Caverne de la Nuit Étoilée",??,,,Zone Sauvage 9
0064,Kadabra,Femelle,,,,,,,,,,,,"Route 215, Route Victoire","Route 215, Route Victoire",Route 215,"Route 8, Caverne Azurée","Route 8, Caverne Azurée",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Faire évoluer Abra (niveau 16),Hautes herbes : Routes 7 et 8,Hautes herbes : Routes 7 et 8,"Plaine Salutation, Lande Boldair, Expédition Dynamax","Plaine Salutation, Lande Boldair, Expédition Dynamax","Route 215, Route Victoire, Grotte Éblouissante, Caverne de la Nuit Étoilée","Route 215, Route Victoire, Grotte Éblouissante, Caverne de la Nuit Étoilée",??,,,Zone Sauvage 9
0065,Alakazam,Mâle,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,"Lagune Circulaire, Mer Isol'Îlots","Lagune Circulaire, Mer Isol'Îlots",Faire évoluer Kadabra (Échange),Faire évoluer Kadabra (Échange),??,,,Zone Sauvage 20
0065,Alakazam,Femelle,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,Faire évoluer Kadabra par échange,"Lagune Circulaire, Mer Isol'Îlots","Lagune Circulaire, Mer Isol'Îlots",Faire évoluer Kadabra (Échange),Faire évoluer Kadabra (Échange),??,,,Zone Sauvage 20
0066,Machoc,,"Grotte, Route Victoire","Grotte, Route Victoire","Route 10, Grotte","Grotte, Mont Creuset, Échange interne contre un Soporifik à Doublonville","Grotte, Mont Creuset, Échange interne contre un Soporifik à Doublonville","Grotte, Mont Creuset (Matin et Jour), Échange interne contre un Soporifik à Doublonville","Route 112, Chemin Ardent, Sentier Sinuroc","Route 112, Chemin Ardent, Sentier Sinuroc","Chemin Ardent, Sentier Sinuroc","Grotte, Route Victoire, Mont Braise","Grotte, Route Victoire, Mont Braise","Route 207, Route 208, Route 210, Mont Couronné","Route 207, Route 208, Route 210, Mont Couronné","Route 208 (Nuit), Route 207, Route 210, Mont Couronné","Mont Creuset, Grotte Falaise, Grotte Sombre, Parc Safari, Pokéwalker (Chemin Pierreux, Caverne Sombre, Grotte Terreur), Échange contre un Soporifik au Centre Commercial de Doublonville","Mont Creuset, Grotte Falaise, Grotte Sombre, Parc Safari, Pokéwalker (Chemin Pierreux, Caverne Sombre, Grotte Terreur), Échange contre un Soporifik au Centre Commercial de Doublonville",Indisponible,Forêt Blanche (avec Takuma dans la forêt),Indisponible,Indisponible,Grotte Étincelante,Grotte Étincelante,"Route 112, Chemin Ardent, Sentier Sinuroc","Route 112, Chemin Ardent, Sentier Sinuroc","Colline Dicarat*, échanger un Piafabec Route 2","Colline Dicarat*, échanger un Piafabec Route 2",Colline Dicarat*,Colline Dicarat*,Route Victoire et Grotte Sombre,Route Victoire et Grotte Sombre,"Route 3, Lac Milobellus Sud, Plaine Rocheuse, Siège du Géant","Route 3, Lac Milobellus Sud, Plaine Rocheuse, Siège du Géant","Route 207, Route 208, Route 210, Mont Couronné, Grotte Spacieuse, Grotte de la Prairie, Grotte du Blizzard, Caverne Ensoleillée","Route 207, Route 208, Route 210, Mont Couronné, Grotte Spacieuse, Grotte de la Prairie, Grotte du Blizzard, Caverne Ensoleillée",??,,,Zone Sauvage 8
0067,Machopeur,,Route Victoire,Route Victoire,Route Victoire,"Grotte, Mont Creuset (Niveau supérieur)","Grotte, Mont Creuset (Niveau supérieur)","Grotte, Mont Creuset (Niveau supérieur), Grotte Argentée (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Caverne Azurée, Route Victoire, Mont Braise","Caverne Azurée, Route Victoire, Mont Braise","Route 210, Route 211, Route 216, Route 217, Route 225, Chenal 226, Mont Abrupt, Mont Couronné, Route Victoire","Route 210, Route 211, Route 216, Route 217, Route 225, Chenal 226, Mont Abrupt, Mont Couronné, Route Victoire","Route 210, Route 211, Route 225, Chenal 226, Mont Couronné","Mont Creuset, Grotte Falaise, Grotte Sombre, Caverne Azurée, Parc Safari","Mont Creuset, Grotte Falaise, Grotte Sombre, Caverne Azurée, Parc Safari",Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Combat, position 1 (1435-5917-4909)","Safari des Amis Combat, position 1 (1435-5917-4909)",Indisponible,Indisponible,Grand Canyon de Poni*,Grand Canyon de Poni*,Grand Canyon de Poni*,Grand Canyon de Poni*,Route Victoire,Route Victoire,"Lac Milobellus Sud, Expédition Dynamax","Lac Milobellus Sud, Expédition Dynamax","Route 210, Route 211, Route 216, Route 217, Route 225, Chenal 226, Rive du Lac Savoir, Mont Abrupt, Mont Couronné, Route Victoire, Grotte Spacieuse, Grotte de la Prairie, Grotte du Blizzard, Caverne Ensoleillée","Route 210, Route 211, Route 216, Route 217, Route 225, Chenal 226, Rive du Lac Savoir, Mont Abrupt, Mont Couronné, Route Victoire, Grotte Spacieuse, Grotte de la Prairie, Grotte du Blizzard, Caverne Ensoleillée",??,,,Zone Sauvage 12
0068,Mackogneur,,Indisponible,Indisponible,Échange contre un Osselait sur la Route 5,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Machopeur par échange,Faire évoluer Machopeur par échange,Faire évoluer Machopeur par échange,Faire évoluer Machopeur par échange,Faire évoluer Machopeur par échange,Faire évoluer Machopeur par échange,Miroir du Géant,Miroir du Géant,Faire évoluer Machopeur (Échange),Faire évoluer Machopeur (Échange),??,,,Zone Sauvage 20
0069,Chétiflor,,Indisponible,"Route 5, Route 6, Route 7, Route 12, Route 13, Route 14, Route 15, Route 24, Route 25","Route 12, Route 13, Route 14, Route 15, Route 24, Route 25","Route 5, Route 6, Route 24, Route 25, Route 31, Route 32, Route 44","Route 5, Route 6, Route 24, Route 25, Route 31, Route 32, Route 44","Route 24, Route 25, Route 31, Route 32, Route 36, Route 44",Indisponible,Indisponible,Indisponible,Indisponible,"Route 5, Route 6, Route 7, Route 12, Route 13, Route 14, Route 15, Route 24, Route 25, Île 2, Île 3, Île 6","Route 229, Chenal 230","Route 229, Chenal 230","Route 224, Chenal 230 (Matin et Jour)","Route 5, Route 6, Route 24, Route 25, Route 31, Route 32, Route 44, Parc Safari, Pokéwalker (Bois Bruissant)","Route 5, Route 6, Route 24, Route 25, Route 31, Route 32, Route 44, Parc Safari, Pokéwalker (Bois Bruissant)",Indisponible,Forêt Blanche (avec Enola dans la forêt),Indisponible,Indisponible,Route 14 (Horde),Route 14 (Horde),Indisponible,Indisponible,"Scanner des Îles : Vendredi, Route 5","Scanner des Îles : Vendredi, Route 5",Échange,Échange,"Hautes herbesLGE : Routes 1, 2, 12, 13, 14, 15, 21, 24 et 25, Échange","Forêt de Jade, Hautes herbesLGE : Routes 1, 2, 12, 13, 14, 15, 21, 24 et 25",Incompatible,Incompatible,"Route 229, Chenal 230, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond","Route 229, Chenal 230, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Incompatible,Coteau Pommes,Coteau Pommes,Zone Sauvage 5
0070,Boustiflor,,Indisponible,"Route 12, Route 13, Route 14, Route 15","Route 12, Route 13, Route 14, Route 15, Caverne Azurée","Route 24, Route 25, Route 44","Route 24, Route 25, Route 44",Route 44,Indisponible,Indisponible,Indisponible,Indisponible,"Route 12, Route 13, Route 14, Route 15, Île 2, Île 3, Île 6","Route 224, Route 229, Chenal 230","Route 224, Route 229, Chenal 230","Route 224, Chenal 230","Route 24, Route 25, Route 44, Parc Safari, Pokéwalker (Sylvania)","Route 24, Route 25, Route 44, Parc Safari, Pokéwalker (Sylvania)",Indisponible,Indisponible,Indisponible,Indisponible,"Route 14, Route 16, Route 19","Route 14, Route 16, Route 19",Indisponible,Indisponible,Faire évoluer Chétiflor (niveau 21),Faire évoluer Chétiflor (niveau 21),Échange,Échange,"Hautes herbesLGE : Routes 12, 13, 14, 15 et 21, Échange","Hautes herbesLGE : Routes 12, 13, 14, 15 et 21",Incompatible,Incompatible,"Route 224, Route 229, Chenal 230, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond","Route 224, Route 229, Chenal 230, Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Incompatible,Rives du Confluent,Rives du Confluent,Zone Sauvage 13
0071,Empiflor,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Faire évoluer Boustiflor avec une Pierre Plante,Faire évoluer Boustiflor avec une Pierre Plante,Échange,Échange,Échange,Chenal 21 (Hautes herbes),Incompatible,Incompatible,Faire évoluer Boustiflor (Avec une Pierre Plante),Faire évoluer Boustiflor (Avec une Pierre Plante),Incompatible,Septentria (Raid 5*),Septentria (Raid 5*),Zone Sauvage 20
0072,Tentacool,,"Chenal 19, Chenal 20, Chenal 21 (Surf), Route 12, Route 13, Route 17, Route 18, Bourg Palette, Jadielle (Méga Canne)","Chenal 19, Chenal 20, Chenal 21 (Surf), Route 12, Route 13, Route 17, Route 18, Bourg Palette, Jadielle (Méga Canne)","Chenal 19, Chenal 20, Chenal 21, Îles Écume (Surf), Route 11, Route 13, Route 17, Route 18, Chenal 19, Chenal 20, Chenal 21, Bourg Palette, Carmin sur Mer, Cramois'Île (Méga Canne)","Chenal 19, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île (Surf et Pêche)","Chenal 19, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île (Surf et Pêche)","Chenal 19, Route 34, Chenal 40, Chenal 41, Ville Griotte, Irisia, Tourb'Îles (Surf), Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Bourg Geon, Oliville, Bourg Palette, Carmin sur Mer, Cramois'Île, Caves Jumelles (Surf et Pêche)","Quasi-totalité des routes, villes et lieux avec points d'eau (Surf, Canne, et parfois Super Canne)","Quasi-totalité des routes, villes et lieux avec points d'eau (Surf, Canne, et parfois Super Canne)","Quasi-totalité des routes, villes et lieux avec points d'eau (Surf, Canne, et parfois Super Canne)","Azuria, Bourg Palette, Île 1, Île 3, Île 4, Île 5, Île 6, Île 7, Carmin sur Mer, Route 4, Route 10, Route 11, Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 24 (Surf)","Azuria, Bourg Palette, Île 1, Île 3, Île 4, Île 5, Île 6, Île 7, Carmin sur Mer, Route 4, Route 10, Route 11, Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 24 (Surf)","Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Joliberges, Verchamps, Rivamar, Forge Fuego, Éoliennes, Île de Fer (Surf)","Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Joliberges, Verchamps, Rivamar, Forge Fuego, Éoliennes, Île de Fer (Surf)","Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Joliberges, Verchamps, Rivamar, Forge Fuego, Éoliennes, Île de Fer (Surf)","Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Route 34, Chenal 40, Chenal 41, Route 47, Bourg Geon, Ville Griotte, Caves Jumelles, Oliville, Tourb'Îles, Irisia, Bourg Palette, Carmin sur Mer, Cramois'Île, Pokéwalker (Lac Bleu) (Surf et Pêche)","Route 12, Route 13, Chenal 19, Chenal 20, Chenal 21, Route 26, Route 27, Route 32, Route 34, Chenal 40, Chenal 41, Route 47, Bourg Geon, Ville Griotte, Caves Jumelles, Oliville, Tourb'Îles, Irisia, Bourg Palette, Carmin sur Mer, Cramois'Île, Pokéwalker (Lac Bleu) (Surf et Pêche)",Indisponible,Indisponible,Indisponible,Indisponible,Côtes de Kalos (Surf),Côtes de Kalos (Surf),"Route 103, Chenal 105, Chenal 106, Chenal 107, Chenal 108, Chenal 109, Route 110, Route 115, Route 118, Route 119, Route 120, Chenal 122, Chenal 124, Chenal 125, Chenal 126, Chenal 127, Chenal 128, Chenal 129, Chenal 130, Chenal 131, Chenal 132, Chenal 133, Chenal 134, Myokara, Poivressel, Nénucrique, Algatia, Éternara, Pacifiville, Lavandia Sea, Planque Aqua, Planque Magma, Caverne Fondmer, Grotte Tréfonds, Route Victoire, Atoll de Combat (Surf, Canne et Super Canne)","Route 103, Chenal 105, Chenal 106, Chenal 107, Chenal 108, Chenal 109, Route 110, Route 115, Route 118, Route 119, Route 120, Chenal 122, Chenal 124, Chenal 125, Chenal 126, Chenal 127, Chenal 128, Chenal 129, Chenal 130, Chenal 131, Chenal 132, Chenal 133, Chenal 134, Myokara, Poivressel, Nénucrique, Algatia, Éternara, Pacifiville, Lavandia Sea, Planque Aqua, Planque Magma, Caverne Fondmer, Grotte Tréfonds, Route Victoire, Atoll de Combat (Surf, Canne et Super Canne)","Sur l'eau : Routes 1, 7, 8, 14, 15, Ekaeka, Mer de Mele-Mele, Colline Clapotis*, Baie de Kala'e, Plage Hano-Hano","Sur l'eau : Routes 1, 7, 8, 14, 15, Ekaeka, Mer de Mele-Mele, Colline Clapotis*, Baie de Kala'e, Plage Hano-Hano","Sur l'eau : Routes 1, 7, 8, Ekaeka, Mer de Mele-Mele, Colline Clapotis*, Baie de Kala'e, Plage Hano-Hano","Sur l'eau : Routes 1, 7, 8, Ekaeka, Mer de Mele-Mele, Colline Clapotis*, Baie de Kala'e, Plage Hano-Hano","Sur l'eau : Routes 4, 10, 12, 13, 18, 19, 20, 21, 24 et Îles Écume","Sur l'eau : Routes 4, 10, 12, 13, 18, 19, 20, 21, 24 et Îles Écume","Surf : Plage de l'Épreuve, Plaine Salutation, Îlot Calméole, Mer Calméole, Mer Isol'Îlots, Lagune Circulaire, Mer Align'Îlots, Mer Eau-Hisse, Caverne Pugnacité","Surf : Plage de l'Épreuve, Plaine Salutation, Îlot Calméole, Mer Calméole, Mer Isol'Îlots, Lagune Circulaire, Mer Align'Îlots, Mer Eau-Hisse, Caverne Pugnacité","Surf : Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Joliberges, Verchamps, Forge Fuego, Parc Éolien, Île de Fer, Grotte des Eaux Souterraines, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne du Marais Sans Fond","Surf : Route 205, Route 213, Route 218, Route 219, Chenal 220, Route 221, Route 222, Joliberges, Verchamps, Forge Fuego, Parc Éolien, Île de Fer, Grotte des Eaux Souterraines, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne du Marais Sans Fond",??,Zone Côtière,Zone Côtière,
